PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
holding in place,securing; supporting; fixing,aft,process,A state of supporting a material to stay in a location or orientation. [Allotrope],,,,mereotopological state,http://purl.allotrope.org/ontologies/process#AFP_0003449
homepage hyperlink,,organization,result,A homepage hyperlink is a web page hyperlink that is a reference to home page of a person or organization. [Allotrope],,,,web page hyperlink,http://purl.allotrope.org/ontologies/result#AFR_0001066
homogeneous mixture,,portion-of-material,material,A homogeneous mixture is a portion of mixed material that has the same proportions of its components throughout a given sample. Homogeneous mixture can have a variable composition. [Wikipedia],,,sea water; air,portion of mixed material,http://purl.allotrope.org/ontologies/material#AFM_0001035
homogenization,,aft,process,The intensive mixing of mutually insoluble phases (sometimes with addition of surfactants) to obtain a soluble suspension or emulsion. [CHMO],,,,mixing,http://purl.allotrope.org/ontologies/process#AFP_0001649
homogenizer,,aft,equipment,A homogenizer is a device used for homogenization of various types of material. [Wikipedia],,https://en.wikipedia.org/wiki/Homogenizer,,shaping device,http://purl.allotrope.org/ontologies/equipment#AFE_0000299
homozygous control sample role,,aft,role,A homozygous control sample role is a sample role of a material that is known to be homozygous for an allele. [Allotrope],,,,control sample role,http://purl.allotrope.org/ontologies/role#AFRL_0000580
honorific prefix,,organization,result,An honorific prefix is a facet that is part of a prefix to a person's name. [Allotrope],,,,person facet,http://purl.allotrope.org/ontologies/result#AFR_0001081
honorific suffix,,organization,result,An honorific prefix is a facet that is part of a suffix to a person's name. [Allotrope],,,,person facet,http://purl.allotrope.org/ontologies/result#AFR_0001482
hot tack aggregate document,,hot-tack,result,A hot tack aggregate document is a document that aggregates hot tack documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002853
hot tack document,,hot-tack,result,A hot tack document is a document that encompasses the information associated with some hot tack run. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002854
human,human being; homo sapiens; man,aft,"",A member of the the species Homo sapiens. [Allotrope],,,,organism,http://purl.obolibrary.org/obo/NCBITaxon_9606
humidity,,aft,result,A humidity (datum) is a quantity facet that quantifies some humidity. [Allotrope],,,,quality quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0002595
humidity (quality),humidity,aft,"",A quality inhering in air by virtue of the partial pressure exerted by the bearer's water vapour content. [PATO],,,,,http://purl.obolibrary.org/obo/PATO_0015009
hydraulic energy,,aft,material,"Work that results from the movement or force of a liquid, including hydrostatic forces. [NIST]",,,,energy,http://purl.allotrope.org/ontologies/material#AFM_0000886
hydrochloric acid titrant solution,,titration,material,A hydrochloric acid titrant solution is a titrant solution containing hydrochloric acid as the reactant. [Allotrope],,,,titrant solution,http://purl.allotrope.org/ontologies/material#AFM_0001108
hydrogen gas,hydrogen,afo,material,Hydrogen gas is a gas that is composed of hydrogen molecules. [Allotrope],,,,gas,http://purl.allotrope.org/ontologies/material#AFM_0001112
hydrogen-bond acidity (quality),,aft,quality,A hydrogen-bond acidity is a quality inhering in a bearer by virtue of the bearer's disposition to act as a hydrogen bond donor. [Allotrope],,,,chemical substance quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000367
hydrogen-bond basicity (quality),,aft,quality,A hydrogen-bond basicity is a quality inhering in a bearer by virtue of the bearer's disposition to act as a hydrogen bond acceptor. [Allotrope],,,,chemical substance quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000368
hydrophilic interaction chromatography,hydrophilic interaction liquid chromatography; HILIC,lc,process,"Liquid chromatography where the stationary phase is hydrophilic, the mobile phase is organic and separation is achieved based on polarity. [CHMO]",,,,,http://purl.allotrope.org/ontologies/process#AFP_0000021
hydrophobic interaction chromatography,HIC,lc,process,Separation using HIC is based on the reversible interaction between a protein and the hydrophobic ligand bound to the chromatography matrix. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0002142
hydrophobicity (hydrophobic subtraction),,chromatography,result,A hydrophobicity is a quality quantification facet that quantifies the hydrophobicity of a chromatographic stationary phase. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003042
hydrophobicity (quality),hydrophobicity,aft,"",A chemical substance quality inhering in a bearer by virtue of the bearer's disposition to being water-repellent; tending to repel and not absorb water. [PATO],,,,chemical substance quality,http://purl.obolibrary.org/obo/PATO_0001884
hygroscopicity,,aft,quality,"Hygroscopicity is a quality inhered in a compound by virtue of its ability to readily take up and retain water, especially from the atmosphere. [Wikipedia]",,https://en.wikipedia.org/wiki/Hygroscopy,,chemical substance quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000279
hygroscopicity code,,dynamic-vapor-sorption,result,A hygroscopicity code is a code that indicates a range of hygroscopicity. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002552
hygroscopicity type,hygroscopicity per E.U,dynamic-vapor-sorption,result,A hygroscopicity type is a classification datum that classifies the hygroscopicity of a material due to moisture sorption at 25°C and 80% relative humidity. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002143
hygroscopy,,afo,process,Hygroscopy is the phenomenon of attracting and holding water molecules via either absorption or adsorption from the surrounding environment. [Wikipedia],,https://en.wikipedia.org/wiki/Hygroscopy,,,http://purl.allotrope.org/ontologies/process#AFP_0003764
hyperslab,,hdf,hdf5/1.8,A portion of a dataset. A hyperslab selection can be a logically contiguous collection of points in a dataspace or a regular pattern of points or blocks in a dataspace. [Allotrope],,,,selection,http://purl.allotrope.org/ontologies/hdf5/1.8#HyperSlab
hysteresis,,dynamic-vapor-sorption,realizable,"Hysteresis is the time-based dependence of a system's output on present and past inputs. The dependence arises because the history affects the value of an internal state. To predict its future outputs, either its internal state or its history must be known. [Wikipedia]",,https://en.wikipedia.org/wiki/Hysteresis,,,http://purl.allotrope.org/ontologies/realizable#AFRE_0000019
hysteresis,,aft,realizable,"Hysteresis is the time-based dependence of a system's output on present and past inputs. The dependence arises because the history affects the value of an internal state. To predict its future outputs, either its internal state or its history must be known. [Wikipedia]",,,,configuration,http://purl.allotrope.org/ontologies/realizable#AFRE_0000019
hysteresis assessment,,dynamic-vapor-sorption,result,A hysteresis assessment is an assessment about the hysteresis observed in a cyclic experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002144
identified degradation product role,identified degradation product,aft,role,A degradation product role for which a structural characterization has been achieved. [ICH-Q3A],,,,degradation product role,http://purl.allotrope.org/ontologies/role#AFRL_0000429
identified impurity role,identified impurity,aft,role,An impurity for which a structural characterization has been achieved. [ICH-Q3A],,,,impurity role,http://purl.allotrope.org/ontologies/role#AFRL_0000424
identifier,ID,aft,result,"An identifier is a name that identifies (that is, labels the identity of) either a unique object or a unique class of objects, where the ""object"" or class may be an idea, physical [countable] object (or class thereof), or physical [uncountable] substance (or class thereof). [Wikipedia]",,,,facet,http://purl.allotrope.org/ontologies/result#AFR_0000917
